,Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL
26,167163,AC0G_B2,RX888-ka9q,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.4745,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167163/
27,167164,KV0S_MO,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.6396,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167164/
28,167165,WA2TP-2,RX888#1,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",35.7042,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167165/
29,167166,G4HZX-Main,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.1393,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167166/
30,167167,G4HZX-Loop,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.9143,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167167/
31,167170,K9TRV-WSPR-RX888-3,RX888-mk2 #3,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",32.0456,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167170/
32,167174,Marahau,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",17.1974,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167174/
33,167177,K9TRV RX888-1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.8938,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167177/
34,167178,K9TRV-WSPR-RX888-2,RX888-mk2 #2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.9800,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167178/
35,167181,CAZ_KE2FDW,RX-888 MK II - ...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.9874,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167181/
36,167182,N2YCH,RX888,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.3363,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167182/
