Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL,Scraped_Page
105288,K9TRV RX888-1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",26.8000,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105288/,299
105289,K3LR,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",25.3017,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105289/,299
105290,JJmp,Wsprdaemon-Beel...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.8522,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105290/,299
105296,w2naf-rx888-sas,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",30.2966,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105296/,299
105299,CAZ_KE2FDW,RX-888 MK II - ...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.5347,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105299/,300
105300,NJIT-Demo,RX-888-2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",19.6725,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105300/,300
105302,KFS_OMNI,KFS_Omni,"5.000 MHz, 2.500 MHz, 3.330 MHz",37.1950,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105302/,300
105304,KC2G,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",10.9451,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105304/,300
105308,g4zfq_Alan,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.4668,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105308/,300
105309,Marahau,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",16.7153,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105309/,300
